Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M1_IP3.bam
snR62	0
snR17a	6285
YOL155C	4
YOR375C	472
snR35	340
YOR100C	1
YOL026C	17
YOL012C	39
YOR026W	12
YOR359W	5
YOR250C	18
YOL013C	9
YOR272W	88
tG(GCC)O2	0
YOL164W-A	0
YOL082W	15
snR36	104
YOR035C	23
YOL016C	24
YOR007C	408
YOR325W	1
YOL085W-A	0
YOL160W	1
YOR361C	191
YOL158C	22
YOR315W	37
YOR010C	0
YOR384W	1
YOR234C	281
YOR283W	36
YOR020W-A	4
YOL045W	21
YOR102W	0
YOL128C	2
YOR360C	58
YOL097C	154
YOR164C	117
YOR175C	31
tP(UGG)O1	0
YOR086C	47
YOR242C	1
YOR155C	30
YOL019W-A	0
YOL030W	39
YOR323C	138
YOL017W	12
YOR233W	21
YOL037C	0
YOR083W	5
YOL010W	46
YOR118W	14
YOR128C	48
YOL125W	30
YOL004W	49
YOR177C	0
YOR166C	19
YOR006C	18
YOR324C	27
YOL024W	0
YOR033C	21
YOL033W	13
YOL070C	23
YOR116C	82
YOL067C	1
YOR145C	74
YOR304C-A	1
YOR192C	2
YOL109W	593
YOR078W	16
YOR134W	0
YOR131C	20
YOR368W	10
YOL111C	22
YOR168W	189
YOR226C	39
YOL162W	0
YOR334W	12
YOR241W	48
tP(UGG)O2	0
YOR245C	11
YOL009C	11
YOR153W	179
YOR358W	4
YOR335W-A	0
YOR170W	1
YOR267C	17
YOR081C	10
YOL145C	47
YOL156W	0
YOR322C	14
YOL044W	9
YOR054C	9
YOL031C	41
YOR034C-A	0
YOR306C	6
YOR261C	127
YOR293W	513
YOR062C	4
YOR339C	2
YOR067C	16
YOR312C	946
YOR094W	10
YOL135C	3
YOL105C	4
YOR329W-A	0
YOR197W	74
YOL104C	2
YOR262W	12
YOR167C	153
YOL015W	0
YOR161C	15
YOR393W	2
YOR105W	0
YOR210W	19
YOR364W	1
YOL087C	17
YOR127W	22
YOR184W	148
YOR150W	18
YOR179C	11
YOR340C	62
YOR354C	21
YOR217W	28
YOR298W	1
YOL006C	16
YOR259C	63
YOR318C	1
YOR320C	53
YOR222W	32
YOL165C	0
YOL007C	11
YOR307C	18
YOL051W	10
YOR091W	51
YOR079C	12
YOL022C	68
YOR278W	20
YOR024W	0
YOL148C	17
YOL078W	6
tP(UGG)O3	1
YOR089C	31
YOL098C	87
YOR171C	30
YOL089C	9
YOL150C	0
YOR095C	103
YOL146W	21
YOR224C	88
YOR302W	0
YOR286W	42
YOR046C	108
tG(CCC)O	0
YOR388C	1
YOR228C	3
YOL112W	20
YOR141C	17
YOL131W	0
YOR049C	1
YOL143C	309
YOR172W	13
YOR149C	8
YOL164W	3
YOR011W	12
YOR071C	8
YOR022C	7
YOR125C	14
YOL141W	4
YOR101W	71
YOR263C	0
YOR383C	0
YOR056C	15
YOL075C	8
YOR073W-A	0
YOR246C	67
YOR042W	30
YOR236W	19
YOR183W	1
YOR176W	37
YOR238W	20
YOR367W	11
YOR297C	5
YOR310C	213
YOR063W	4130
YOR189W	5
YOL129W	32
YOR280C	25
YOR037W	17
YOR090C	25
YOR313C	1
YOL032W	11
YOR158W	43
YOR162C	5
YOL092W	52
YOL061W	143
YOR232W	124
YOR219C	11
YOR182C	149
YOL099C	3
YOR294W	58
YOR288C	15
YOR110W	16
YOR040W	5
YOL083W	4
YOL136C	39
YOL130W	38
YOL021C	49
YOR282W	0
YOL077W-A	3
YOR319W	17
YOR030W	8
YOR291W	9
YOL077C	118
YOR390W	14
YOL052C-A	2
YOR123C	19
YOR013W	2
YOR249C	11
YOR362C	143
YOL058W	31
YOR143C	17
YOR347C	10
YOL157C	1
YOL057W	54
YOR321W	14
YOR015W	7
YOR111W	11
YOL008W	6
YOR279C	3
YOR394C-A	0
YOR180C	2
YOL055C	9
snR5	256
YOL139C	351
YOR287C	10
YOR198C	180
YOR053W	1
YOL054W	4
YOR012W	0
YOL118C	0
YOR034C	11
YOR374W	24
YOR018W	9
YOL084W	0
YOR314W	0
YOR050C	0
YOR391C	1
YOR327C	29
YOR352W	7
YOR348C	2
YOL115W	22
YOR066W	10
YOR072W-A	1
YOL096C	8
tM(CAU)O2	0
YOR020C	75
YOR133W	1595
YOR356W	22
YOR208W	5
YOR357C	7
YOR277C	0
YOR276W	119
YOR247W	3
snR50	1
YOL047C	0
YOR221C	15
YOR344C	53
YOR269W	15
YOR152C	4
YOR103C	30
YOR377W	12
YOR129C	5
YOL038C-A	0
YOR156C	1
YOR329C	8
YOR351C	0
YOL040C	390
YOL159C-A	1
YOR051C	71
YOR003W	3
YOR064C	4
YOR073W	9
YOR201C	9
YOR065W	16
YOR186W	1
YOR045W	8
YOL018C	11
YOL133W	22
YOR087W	17
YOL028C	6
YOL086C	6479
YOL108C	5
YOL023W	8
YOR011W-A	0
YOR165W	55
YOL068C	19
YOR138C	22
YOR016C	24
YOL121C	433
YOL126C	92
YOR235W	0
YOR080W	19
YOR169C	1
YOR028C	1
YOR225W	1
YOR108C-A	1
YOR109W	48
YOL093W	22
YOR147W	20
YOR218C	0
YOR254C	41
YOL080C	27
YOR161W-B	0
tY(GUA)O	0
YOR136W	128
tR(ACG)O	0
YOR192C-C	0
YOR205C	14
YOR200W	1
YOR305W	13
YOR195W	13
YOL123W	123
YOR097C	4
YOL083C-A	0
YOL086W-A	1
YOR337W	14
YOL100W	9
YOR289W	3
YOR255W	1
YOR304W	13
YOL163W	0
YOR077W	1
YOR074C	20
YOR117W	110
YOR055W	0
YOL166W-A	0
YOL066C	14
YOR396W	24
YOR161C-C	0
tV(AAC)O	0
YOR151C	159
YOR187W	173
YOL001W	11
YOR005C	6
YOR199W	0
YOR355W	50
YOR290C	30
YOR396C-A	1
YOR047C	20
YOL014W	6
YOR244W	16
YOL102C	16
YOL060C	5
YOL041C	71
YOL116W	11
YOR353C	7
YOR299W	21
YOR366W	1
tD(GUC)O	0
YOR096W	991
YOR148C	12
YOR301W	7
YOR257W	6
YOR135C	2
YOR032W-A	0
YOR223W	4
YOR076C	20
YOR231C-A	0
YOR316C-A	0
tS(GCU)O	0
YOR061W	90
YOR025W	26
YOR371C	16
YOL140W	26
YOL062C	30
YOR292C	9
tG(UCC)O	0
YOR027W	109
tT(AGU)O2	0
YOR142W-B	80
YOR192C-A	0
YOL103W-B	116
YOR142W-A	0
YOR192C-B	29
YOR343W-B	20
YOR343W-A	0
YOL103W-A	0
YGL087C	23
YGL156W	3
YGL015C	1
RME2	2
YGR251W	12
YGR162W	144
tK(UUU)G2	0
YGR005C	15
YGL160W	8
snR46	293
tD(GUC)G1	0
YGL211W	17
YGR141W	4
YGL239C	0
YGL097W	91
YGR030C	11
YGR224W	0
YGR142W	21
YGR186W	30
YGR181W	10
YGL081W	0
YGR082W	24
YGL028C	7
YGL021W	22
YGL110C	8
YGR167W	57
YGL017W	11
tA(UGC)G	0
YGR156W	6
YGR291C	0
YGR197C	12
YGR041W	11
YGL079W	9
YGL107C	15
YGL168W	1
YGL228W	18
YGR183C	3
YGL050W	19
YGR273C	0
YGR086C	323
YGR228W	2
YGL145W	35
YGR098C	18
YGR074W	10
YGL098W	6
snR7-S	0
YGL096W	3
YGR240C-A	0
YGR172C	66
YGR194C	10
YGL026C	191
YGL213C	36
YGL248W	19
YGL075C	9
YGL256W	22
YGL012W	61
YGL082W	35
YGR161C	4
tW(CCA)G1	1
YGR274C	19
YGR031C-A	0
YGL037C	94
YGL252C	46
YGL250W	2
YGR260W	86
YGR159C	559
YGR006W	3
YGL121C	0
YGL040C	61
YGR130C	15
YGR021W	7
YGR097W	3
YGL170C	0
YGL166W	13
YGL104C	6
YGR149W	4
YGR195W	47
tG(GCC)G2	0
YGR250C	20
YGL155W	31
YGL216W	15
YGR029W	35
YGL125W	19
YGR038W	34
YGR008C	14
YGR248W	3
YGL094C	22
YGR131W	3
YGR163W	24
YGR125W	22
YGR279C	136
YGL022W	58
tD(GUC)G2	0
YGR271W	33
YGL025C	7
YGL176C	4
YGR031W	14
YGL102C	131
YGR182C	11
YGR025W	0
YGL113W	5
YGR188C	3
YGL162W	4
YGL084C	4
snR10	8
YGL196W	24
RME3	2
YGR230W	5
YGR084C	26
YGL222C	5
YGR166W	10
YGR122C-A	1
YGR152C	16
YGL210W	36
YGR265W	0
YGR157W	89
YGL240W	3
YGR085C	715
YGR237C	5
YGL146C	5
YGL153W	9
YGR075C	1
tT(UGU)G2	0
YGL169W	42
YGR187C	32
YGL167C	66
YGR050C	0
YGR035W-A	0
YGR217W	16
YGR068C	8
YGR296W	21
YGR177C	25
YGL068W	72
tN(GUU)G	0
YGL018C	5
YGL188C	7
YGR126W	1
YGL065C	23
YGL014W	39
YGL100W	59
YGR288W	3
YGL174W	3
YGR211W	84
YGL204C	5
YGR270W	34
YGR204W	157
YGR266W	30
YGL070C	13
YGL225W	135
YGL120C	94
tE(UUC)G1	0
