Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN3.bam
tM(CAU)O1	0
YOR211C	17
YOR191W	36
YOL064C	58
tT(AGU)O1	0
YOL049W	123
YOL043C	1
YOR043W	17
YOR331C	2
YOR309C	12
YOR104W	8
YOL114C	0
YOR300W	0
YOR220W	8
YOR378W	7
YOL059W	38
YOR386W	5
YOL027C	63
snR62	2
snR17a	22285
YOL155C	10
YOR375C	490
snR35	2353
YOR100C	0
YOL026C	10
YOL012C	10
YOR026W	12
YOR359W	0
YOR250C	3
YOL013C	13
YOR272W	73
tG(GCC)O2	0
YOL164W-A	0
YOL082W	12
snR36	640
YOR035C	20
YOL016C	14
YOR007C	411
YOR325W	2
YOL085W-A	1
YOL160W	0
YOR361C	254
YOL158C	91
YOR315W	13
YOR010C	0
YOR384W	3
YOR234C	162
YOR283W	30
YOR020W-A	6
YOL045W	31
YOR102W	1
YOL128C	8
YOR360C	81
YOL097C	150
YOR164C	184
YOR175C	149
tP(UGG)O1	0
YOR086C	154
YOR242C	0
YOR155C	39
YOL019W-A	0
YOL030W	56
YOR323C	123
YOL017W	6
YOR233W	17
YOL037C	0
YOR083W	3
YOL010W	35
YOR118W	10
YOR128C	27
YOL125W	11
YOL004W	46
YOR177C	0
YOR166C	13
YOR006C	10
YOR324C	18
YOL024W	0
YOR033C	15
YOL033W	18
YOL070C	19
YOR116C	172
YOL067C	1
YOR145C	18
YOR304C-A	0
YOR192C	1
YOL109W	173
YOR078W	14
YOR134W	0
YOR131C	5
YOR368W	12
YOL111C	1
YOR168W	392
YOR226C	12
YOL162W	1
YOR334W	6
YOR241W	55
tP(UGG)O2	0
YOR245C	11
YOL009C	1
YOR153W	1015
YOR358W	1
YOR335W-A	4
YOR170W	0
YOR267C	5
YOR081C	3
YOL145C	63
YOL156W	2
YOR322C	13
YOL044W	13
YOR054C	8
YOL031C	22
YOR034C-A	3
YOR306C	20
YOR261C	52
YOR293W	1065
YOR062C	2
YOR339C	3
YOR067C	94
YOR312C	916
YOR094W	6
YOL135C	0
YOL105C	1
YOR329W-A	0
YOR197W	50
YOL104C	3
YOR262W	18
YOR167C	446
YOL015W	1
YOR161C	29
YOR393W	0
YOR105W	0
YOR210W	8
YOR364W	0
YOL087C	17
YOR127W	15
YOR184W	231
YOR150W	7
YOR179C	2
YOR340C	21
YOR354C	43
YOR217W	42
YOR298W	8
YOL006C	11
YOR259C	81
YOR318C	2
YOR320C	76
YOR222W	91
YOL165C	2
YOL007C	10
YOR307C	15
YOL051W	11
YOR091W	12
YOR079C	24
YOL022C	46
YOR278W	12
YOR024W	0
YOL148C	12
YOL078W	15
tP(UGG)O3	14
YOR089C	15
YOL098C	149
YOR171C	30
YOL089C	23
YOL150C	0
YOR095C	68
YOL146W	6
YOR224C	63
YOR302W	0
YOR286W	27
YOR046C	99
tG(CCC)O	1
YOR388C	0
YOR228C	12
YOL112W	5
YOR141C	31
YOL131W	0
YOR049C	1
YOL143C	259
YOR172W	9
YOR149C	26
YOL164W	14
YOR011W	20
YOR071C	14
YOR022C	7
YOR125C	12
YOL141W	27
YOR101W	32
YOR263C	0
YOR383C	0
YOR056C	25
YOL075C	31
YOR073W-A	0
YOR246C	97
YOR042W	2
YOR236W	9
YOR183W	0
YOR176W	72
YOR238W	8
YOR367W	7
YOR297C	4
YOR310C	266
YOR063W	10510
YOR189W	8
YOL129W	79
YOR280C	17
YOR037W	3
YOR090C	41
YOR313C	3
YOL032W	7
YOR158W	13
YOR162C	6
YOL092W	70
YOL061W	251
YOR232W	47
YOR219C	21
YOR182C	282
YOL099C	2
YOR294W	31
YOR288C	24
YOR110W	17
YOR040W	1
YOL083W	3
YOL136C	18
YOL130W	65
YOL021C	99
YOR282W	0
YOL077W-A	2
YOR319W	8
YOR030W	6
YOR291W	52
YOL077C	63
YOR390W	19
YOL052C-A	0
YOR123C	13
YOR013W	0
YOR249C	19
YOR362C	86
YOL058W	103
YOR143C	11
YOR347C	10
YOL157C	3
YOL057W	84
YOR321W	57
YOR015W	6
YOR111W	2
YOL008W	2
YOR279C	5
YOR394C-A	0
YOR180C	1
YOL055C	1
snR5	1390
YOL139C	271
YOR287C	3
YOR198C	63
YOR053W	1
YOL054W	5
YOR012W	0
YOL118C	1
YOR034C	46
YOR374W	17
YOR018W	3
YOL084W	0
YOR314W	0
YOR050C	0
YOR391C	0
YOR327C	15
YOR352W	6
YOR348C	1
YOL115W	17
YOR066W	5
YOR072W-A	0
YOL096C	9
tM(CAU)O2	0
YOR020C	66
YOR133W	4479
YOR356W	67
YOR208W	3
YOR357C	9
YOR277C	1
YOR276W	176
YOR247W	0
snR50	5
YOL047C	0
YOR221C	6
YOR344C	9
YOR269W	28
YOR152C	1
YOR103C	53
YOR377W	13
YOR129C	5
YOL038C-A	0
YOR156C	2
YOR329C	6
YOR351C	0
YOL040C	98
YOL159C-A	0
YOR051C	46
YOR003W	0
YOR064C	3
YOR073W	10
YOR201C	8
YOR065W	5
YOR186W	0
YOR045W	3
YOL018C	13
YOL133W	5
YOR087W	27
YOL028C	1
YOL086C	7838
YOL108C	1
YOL023W	4
YOR011W-A	0
YOR165W	104
YOL068C	15
YOR138C	45
YOR016C	15
YOL121C	450
YOL126C	53
YOR235W	0
YOR080W	7
YOR169C	0
YOR028C	1
YOR225W	1
YOR108C-A	3
YOR109W	76
YOL093W	11
YOR147W	22
YOR218C	0
YOR254C	154
YOL080C	14
YOR161W-B	1
tY(GUA)O	1
YOR136W	74
tR(ACG)O	0
YOR192C-C	0
YOR205C	7
YOR200W	0
YOR305W	4
YOR195W	8
YOL123W	80
YOR097C	2
YOL083C-A	0
YOL086W-A	8
YOR337W	10
YOL100W	4
YOR289W	3
YOR255W	0
YOR304W	25
YOL163W	2
YOR077W	4
YOR074C	5
YOR117W	125
YOR055W	0
YOL166W-A	0
YOL066C	16
YOR396W	80
YOR161C-C	0
tV(AAC)O	0
YOR151C	239
YOR187W	303
YOL001W	7
YOR005C	1
YOR199W	0
YOR355W	25
YOR290C	23
YOR396C-A	1
YOR047C	11
YOL014W	2
YOR244W	10
YOL102C	4
YOL060C	3
YOL041C	39
YOL116W	9
YOR353C	16
YOR299W	28
YOR366W	1
tD(GUC)O	1
YOR096W	2951
YOR148C	6
YOR301W	19
YOR257W	5
YOR135C	0
YOR032W-A	0
YOR223W	0
YOR076C	14
YOR231C-A	0
YOR316C-A	1
tS(GCU)O	5
YOR061W	27
YOR025W	17
YOR371C	14
YOL140W	32
YOL062C	73
YOR292C	12
tG(UCC)O	1
YOR027W	127
tT(AGU)O2	1
YOR142W-B	50
YOR192C-A	0
YOL103W-B	72
YOR142W-A	0
YOR192C-B	17
YOR343W-B	19
YOR343W-A	0
YOL103W-A	0
YGL087C	10
YGL156W	4
YGL015C	0
RME2	1
YGR251W	1
YGR162W	276
tK(UUU)G2	0
YGR005C	10
YGL160W	28
snR46	1970
tD(GUC)G1	3
YGL211W	26
YGR141W	29
YGL239C	3
YGL097W	103
YGR030C	4
YGR224W	1
YGR142W	8
YGR186W	26
YGR181W	1
YGL081W	0
YGR082W	1
YGL028C	21
YGL021W	23
YGL110C	21
YGR167W	9
YGL017W	20
tA(UGC)G	2
YGR156W	1
YGR291C	0
YGR197C	19
YGR041W	4
YGL079W	2
YGL107C	26
YGL168W	0
YGL228W	79
YGR183C	9
YGL050W	13
YGR273C	0
YGR086C	208
YGR228W	2
YGL145W	24
YGR098C	34
YGR074W	11
YGL098W	3
snR7-S	0
YGL096W	1
YGR240C-A	0
YGR172C	52
YGR194C	10
YGL026C	187
YGL213C	47
YGL248W	10
YGL075C	4
YGL256W	22
YGL012W	370
YGL082W	35
YGR161C	0
tW(CCA)G1	15
YGR274C	20
YGR031C-A	1
YGL037C	31
YGL252C	39
YGL250W	2
YGR260W	348
YGR159C	687
YGR006W	0
YGL121C	0
YGL040C	40
YGR130C	7
YGR021W	3
YGR097W	7
YGL170C	1
YGL166W	8
YGL104C	16
YGR149W	7
YGR195W	17
tG(GCC)G2	0
YGR250C	25
YGL155W	15
YGL216W	10
YGR029W	20
YGL125W	6
YGR038W	18
YGR008C	2
YGR248W	0
YGL094C	45
YGR131W	0
YGR163W	12
YGR125W	40
YGR279C	92
YGL022W	240
tD(GUC)G2	3
YGR271W	47
YGL025C	2
YGL176C	7
YGR031W	25
YGL102C	311
YGR182C	1
YGR025W	0
YGL113W	1
YGR188C	8
YGL162W	0
YGL084C	51
snR10	12
YGL196W	32
RME3	1
YGR230W	1
YGR084C	17
YGL222C	0
YGR166W	16
YGR122C-A	0
YGR152C	10
YGL210W	7
YGR265W	1
YGR157W	349
YGL240W	14
YGR085C	808
YGR237C	4
YGL146C	0
YGL153W	6
YGR075C	4
tT(UGU)G2	2
YGL169W	22
YGR187C	49
YGL167C	202
YGR050C	3
YGR035W-A	0
YGR217W	65
YGR068C	6
YGR296W	57
YGR177C	40
YGL068W	68
tN(GUU)G	0
YGL018C	1
YGL188C	3
YGR126W	1
YGL065C	25
YGL014W	18
YGL100W	58
YGR288W	7
YGL174W	0
YGR211W	78
YGL204C	5
YGR270W	40
YGR204W	216
YGR266W	23
YGL070C	9
YGL225W	280
